#time,flux,flux_err
1325.2966258808235,0.9985075327075761,0.001343631
1325.2980147804474,0.999510511999962,0.0013441417
1325.299403680013,0.9998811146940308,0.0013465661
1325.3007925795785,0.9997912081837772,0.0013448545
1325.3021814792023,0.9994058267831504,0.0013458717
1325.303570378768,0.998895924333926,0.0013453774
1325.3049592783916,0.9985167641643417,0.0013453437
1325.3063481780152,0.9984653510315029,0.0013450579
1325.307737077639,0.9992906877474156,0.001345184
1325.309125977263,0.9994621484574371,0.0013459194
1325.3105148768866,0.9998138253822124,0.0013468482
1325.3119037765102,0.9998358214111671,0.0013475731
1325.3132926761343,1.000019422455286,0.0013476274
1325.3146815757586,1.0002630863520465,0.0013459391
1325.3160704753825,0.9996305456270879,0.00134623
1325.3174593750637,0.9992736729126154,0.0013484597
1325.318848274688,0.9987547441705023,0.0013482157
1325.32023717437,0.9983735980863487,0.0013469823
1325.3216260740512,0.9985693155440549,0.0013463187
1325.3230149736758,0.9986700115850423,0.0013476071
1325.3244038733578,0.9989485305504466,0.0013477135
1325.325792773039,0.999345521810794,0.0013476679
1325.3271816727217,0.9996301350189746,0.0013497386
1325.3285705724036,0.9998743477296347,0.0013489393
1325.329959472085,0.9996509777802461,0.0013483196
1325.331348371826,0.9998056343407355,0.0013490245
1325.3327372715084,0.9996373648813428,0.0013480547
1325.3341261711905,0.9996719594200176,0.0013489717
1325.3355150709306,0.9997591828046207,0.0013503414
1325.3369039706126,0.9997104877141921,0.0013511553
1325.338292870353,0.9997805579132372,0.0013517375
1325.339681770093,0.9996286232576619,0.0013507872
1325.341070669833,0.9996402915339915,0.0013501296
1325.3424595695733,0.9995794840998556,0.0013507511
1325.3438484692554,0.9994231033743988,0.0013516635
1325.3452373690536,0.9995756426375229,0.0013517013
1325.3466262687946,0.999262409664378,0.0013529133
1325.3480151685346,0.9993100271356651,0.0013519853
1325.3494040682742,0.9986544070484656,0.0013519627
1325.3507929680734,0.9979283650298146,0.0013524331
1325.3521818678134,0.9977990238965693,0.0013524051
1325.3535707676112,0.9978986039947576,0.0013538152
1325.354959667352,0.9983429151266859,0.0013530075
1325.3563485671505,0.9989150516450619,0.0013553262
1325.357737466948,0.9991288230299713,0.0013549438
1325.3591263666888,0.9994036127763054,0.0013557189
1325.3605152664875,0.9991370524214764,0.001355805
1325.361904166285,0.9993885501848445,0.0013563348
1325.363293066084,0.9992076797563968,0.0013551652
1325.3646819659414,0.9987809386252857,0.0013559638
1325.3660708657392,0.9987629192809528,0.0013558993
1325.3674597655374,0.9987258397209793,0.0013570077
1325.3688486653366,0.9985791097803265,0.0013582932
1325.3702375651924,0.998995057613203,0.0013563865
1325.3716264649909,0.9991356669678662,0.0013579684
1325.3730153648482,0.9995200560516504,0.0013585696
1325.3744042647047,0.9995884185236926,0.0013591399
1325.3757931645612,1.0001610636909999,0.0013595078
1325.3771820643597,0.9998713758505531,0.0013598071
1325.3785709642164,0.9997453630595058,0.0013602779
1325.3799598640728,0.9995265907230211,0.0013593794
1325.3813487639293,0.9991736439619081,0.0013605189
1325.3827376638449,0.9990569653646101,0.0013598207
1325.3841265637016,0.9989056592716956,0.0013627773
1325.3855154635573,0.9992637571145094,0.0013610169
1325.3869043634147,0.9994133757616782,0.001362761
1325.3882932633294,0.9992386994922776,0.0013624984
1325.3896821631854,0.9993534228321757,0.0013628558
1325.391071063101,0.9990856611004927,0.0013635404
1325.3924599630157,0.9994666248597457,0.0013634372
1325.3938488628717,0.9996473041131615,0.0013634547
1325.3952377627872,0.9995253817112656,0.0013642997
1325.396626662702,0.9998567275710732,0.001363276
1325.3980155626161,0.9997601025950832,0.0013647075
1325.3994044625315,1.0000533324551308,0.0013656081
1325.4007933624468,0.9997901376570983,0.00136568
1325.402182262361,0.9995267780193999,0.0013670262
1325.403571162334,0.9989683912541676,0.0013657078
1325.4049600622495,0.9990240139694428,0.0013657454
1325.4063489621637,0.999284257032952,0.0013668663
1325.4077378621366,0.9995002605775989,0.0013668797
1325.4091267620522,0.9993142539198975,0.0013654692
1325.410515662025,0.9997163747820383,0.0013687959
1325.4119045619982,0.9997232770911241,0.0013682555
1325.4132934619713,0.9997959589060439,0.0013685983
1325.414682361886,0.9997792661398011,0.0013683713
1325.4160712618589,0.9996892246252903,0.0013691941
1325.4174601618322,0.9994528573039747,0.0013698827
1325.4188490618058,0.9998894527923242,0.001369554
1325.4202379617789,1.0002270741740582,0.0013699422
1325.4216268618093,1.0005671936979499,0.0013716719
1325.4230157617828,1.0003827050085061,0.0013721507
1325.424404661756,1.0003901299233233,0.0013709788
1325.4257935617863,0.9999471760900506,0.0013715378
1325.4271824617601,0.999522927552906,0.0013738922
1325.4285713617915,0.9992956450614824,0.0013711512
1325.4299602617637,0.9991903661006327,0.0013725385
1325.4313491617957,0.999082262764182,0.0013714903
1325.4327380618267,0.9992006805542113,0.0013727205
1325.4341269618574,0.9995091378997474,0.001372914
1325.4355158618894,0.9996710275436682,0.0013729075
1325.4369047619211,0.999551891400273,0.001373097
1325.4382936619515,0.9995299835003899,0.0013743785
1325.439682561983,0.999384088879875,0.0013739122
1325.4410714620149,0.9992639887768091,0.0013736002
1325.4424603620453,0.9992489560725967,0.001374894
1325.4438492620766,0.9991495405102059,0.0013749123
1325.4452381621666,0.9997187518236493,0.0013753945
1325.4466270621972,1.0002980971610926,0.0013751978
